,Govt_ID,Policy_Number,Disease,Disease_Category,Claim_Date
317,OKKXY3670V,C97889,Hypothyroidism,chronic,2023-12-04
318,OKKXY3670V,C97889,Angina,cardiac,2016-11-26
319,OKKXY3670V,C97889,Lupus,rare,2016-04-16
320,VCVPA4984R,W69964,Angina,cardiac,2017-03-29
321,SBBOE5693I,V91080,Lupus,rare,2016-01-26
322,SBBOE5693I,V91080,Multiple Sclerosis,rare,2017-06-22
323,ZKCLE0458N,X33052,Fracture Femur,surgical,2018-10-07
324,ZKCLE0458N,X33052,Dengue,acute,2022-02-17
325,ZKCLE0458N,X33052,Fracture Femur,surgical,2017-08-24
326,ZKCLE0458N,X33052,Coronary Artery Disease,cardiac,2024-12-27
327,ZKCLE0458N,X33052,Fracture Femur,surgical,2018-11-11
328,ECUMI6335R,F40259,Hypertension,chronic,2019-12-09
329,ECUMI6335R,F40259,Autoimmune Disorder,rare,2019-11-07
330,ECUMI6335R,F40259,Gastroenteritis,acute,2022-11-24
331,ECUMI6335R,F40259,Gastroenteritis,acute,2021-10-09
332,AYDAD2978T,W07733,Coronary Artery Disease,cardiac,2018-01-24
333,AYDAD2978T,W07733,Gallstones,surgical,2024-10-08
334,AYDAD2978T,W07733,Angina,cardiac,2024-01-11
335,AYDAD2978T,W07733,Hypothyroidism,chronic,2020-02-23
336,ETWFT2207S,N30263,Chronic Kidney Disease,chronic,2017-10-21
337,ETWFT2207S,N30263,Fracture Femur,surgical,2024-10-18
338,ETWFT2207S,N30263,Gallstones,surgical,2021-05-23
339,ETWFT2207S,N30263,Gastroenteritis,acute,2018-07-30
340,ETWFT2207S,N30263,Myocardial Infarction,cardiac,2021-06-06
341,TPIBH8172C,V42026,Gallstones,surgical,2023-10-03
342,TPIBH8172C,V42026,Autoimmune Disorder,rare,2021-03-19
343,TPIBH8172C,V42026,Gallstones,surgical,2023-05-30
344,BWMEL4101H,A79997,Angina,cardiac,2017-02-04
345,BWMEL4101H,A79997,Urinary Tract Infection,acute,2018-09-25
346,BWMEL4101H,A79997,Coronary Artery Disease,cardiac,2018-10-17
347,JUFYH5912C,B08365,Diabetes Mellitus,chronic,2017-02-11
348,JUFYH5912C,B08365,Coronary Artery Disease,cardiac,2018-02-08
349,JUFYH5912C,B08365,Diabetes Mellitus,chronic,2022-11-15
350,JUFYH5912C,B08365,Myocardial Infarction,cardiac,2020-12-07
351,JUFYH5912C,B08365,Hypothyroidism,chronic,2017-12-07
352,JQIOW2961L,F36467,Chronic Kidney Disease,chronic,2021-07-14
353,IZMSE8203U,S97229,Autoimmune Disorder,rare,2020-07-28
354,IZMSE8203U,S97229,Autoimmune Disorder,rare,2018-02-25
355,IZMSE8203U,S97229,Asthma,chronic,2020-08-05
356,IZMSE8203U,S97229,Lupus,rare,2019-09-30
357,NZRMA6295Y,A43166,ACL Tear,surgical,2020-09-11
358,NZRMA6295Y,A43166,Chronic Kidney Disease,chronic,2016-12-02
359,ACNFD8988T,B45974,Chronic Kidney Disease,chronic,2016-06-05
360,ZYMUK6388Q,E47301,Coronary Artery Disease,cardiac,2017-09-09
361,ZYMUK6388Q,E47301,Fracture Femur,surgical,2016-08-30
362,ZYMUK6388Q,E47301,Angina,cardiac,2019-12-29
363,ZYMUK6388Q,E47301,Gastroenteritis,acute,2020-01-16
364,HLXGQ1474B,Z15795,Pneumonia,acute,2021-06-09
365,HLXGQ1474B,Z15795,Viral Fever,acute,2022-08-10
366,HLXGQ1474B,Z15795,Fracture Femur,surgical,2016-12-01
367,WXSMQ2173G,T58680,Angina,cardiac,2020-06-29
368,WXSMQ2173G,T58680,Asthma,chronic,2018-07-22
369,LXKPP5482C,Z40155,Angina,cardiac,2017-05-24
370,LXKPP5482C,Z40155,Coronary Artery Disease,cardiac,2017-02-03
371,LXKPP5482C,Z40155,Gastroenteritis,acute,2016-09-21
372,LXKPP5482C,Z40155,Coronary Artery Disease,cardiac,2017-04-24
373,LXKPP5482C,Z40155,Gastroenteritis,acute,2020-12-19
374,XDSHX1105F,Z46821,Asthma,chronic,2024-11-06
375,XDSHX1105F,Z46821,Lupus,rare,2022-11-04
376,WWIIY8100H,S61218,Angina,cardiac,2018-01-24
377,WWIIY8100H,S61218,Lupus,rare,2020-01-02
378,XNDVP0554A,G77896,Myocardial Infarction,cardiac,2023-01-04
379,XNDVP0554A,G77896,Dengue,acute,2024-09-21
380,XNDVP0554A,G77896,Dengue,acute,2017-03-30
381,BAHBS3700R,T24976,Myocardial Infarction,cardiac,2017-08-01
382,PMWJZ4237V,U44213,Hypertension,chronic,2024-02-15
383,PMWJZ4237V,U44213,Fracture Femur,surgical,2022-10-20
384,DEBZW3114D,B96133,Angina,cardiac,2016-11-08
385,DEBZW3114D,B96133,Autoimmune Disorder,rare,2020-05-21
386,DEBZW3114D,B96133,Hernia,surgical,2021-10-31
387,GYUCF9516R,B51530,Myocardial Infarction,cardiac,2023-09-27
388,GYUCF9516R,B51530,Autoimmune Disorder,rare,2023-09-23
389,GYUCF9516R,B51530,Multiple Sclerosis,rare,2019-02-22
390,GYUCF9516R,B51530,Hypothyroidism,chronic,2017-03-18
391,GYUCF9516R,B51530,Appendicitis,surgical,2016-11-10
392,FKVJV9332I,T45275,Pneumonia,acute,2018-03-07
393,VARGE2589A,N23211,Angina,cardiac,2019-08-23
394,EXEEV9874F,S92597,Hypothyroidism,chronic,2016-03-25
395,EXEEV9874F,S92597,Diabetes Mellitus,chronic,2022-11-10
396,EXEEV9874F,S92597,Hypertension,chronic,2018-10-16
397,EXEEV9874F,S92597,Dengue,acute,2016-09-30
398,NCVOT8128S,I67325,Gallstones,surgical,2021-05-19
399,NCVOT8128S,I67325,Hypertension,chronic,2018-04-13
400,HJIPF0082X,V54942,Gastroenteritis,acute,2023-09-12
401,HJIPF0082X,V54942,Myocardial Infarction,cardiac,2018-07-08
402,HJIPF0082X,V54942,Coronary Artery Disease,cardiac,2017-06-03
403,HJIPF0082X,V54942,Hypothyroidism,chronic,2017-10-03
404,HJIPF0082X,V54942,Lupus,rare,2020-06-23
405,JLMIG0499B,S48710,Chronic Kidney Disease,chronic,2020-10-02
406,JLMIG0499B,S48710,Angina,cardiac,2017-08-02
407,JLMIG0499B,S48710,Hernia,surgical,2021-11-01
408,JLMIG0499B,S48710,Viral Fever,acute,2024-12-25
409,OOKCG3865C,T17907,Urinary Tract Infection,acute,2023-06-15
410,OOKCG3865C,T17907,Myocardial Infarction,cardiac,2021-05-20
411,OOKCG3865C,T17907,Multiple Sclerosis,rare,2024-03-13
412,SFJLY1861D,M39063,ACL Tear,surgical,2020-05-05
413,SFJLY1861D,M39063,Pneumonia,acute,2017-12-10
414,SULJY6672L,E07120,Lupus,rare,2019-02-23
415,SULJY6672L,E07120,Hernia,surgical,2021-01-06
416,SULJY6672L,E07120,Urinary Tract Infection,acute,2016-09-03
417,SULJY6672L,E07120,Pneumonia,acute,2022-02-03
418,MURPQ0924B,W53040,Dengue,acute,2017-08-29
419,MURPQ0924B,W53040,Coronary Artery Disease,cardiac,2018-09-27
420,MURPQ0924B,W53040,Asthma,chronic,2023-05-19
421,MURPQ0924B,W53040,Autoimmune Disorder,rare,2023-05-20
422,ROMOE5733D,U91869,Pneumonia,acute,2018-03-05
423,UBBMD0673G,E41281,Myocardial Infarction,cardiac,2021-01-16
424,UBBMD0673G,E41281,Myocardial Infarction,cardiac,2023-05-27
425,UBBMD0673G,E41281,Autoimmune Disorder,rare,2017-08-21
426,UBBMD0673G,E41281,Urinary Tract Infection,acute,2020-05-31
427,CAUSY4764M,E19003,Urinary Tract Infection,acute,2022-08-14
428,YSLXE8246Q,K03414,Urinary Tract Infection,acute,2020-10-10
429,YSLXE8246Q,K03414,Viral Fever,acute,2024-01-12
430,YSLXE8246Q,K03414,Coronary Artery Disease,cardiac,2023-11-11
431,LDLFO5650D,F12484,Pneumonia,acute,2020-02-07
432,LDLFO5650D,F12484,Autoimmune Disorder,rare,2019-07-15
433,LDLFO5650D,F12484,Viral Fever,acute,2019-04-07
434,LDLFO5650D,F12484,Urinary Tract Infection,acute,2017-01-28
435,NSZMC7561P,Y26102,Asthma,chronic,2020-04-10
436,NSZMC7561P,Y26102,Hypertension,chronic,2017-08-02
437,WCBRB1404N,E17415,Hernia,surgical,2023-03-20
438,WCBRB1404N,E17415,Viral Fever,acute,2023-04-06
439,WCBRB1404N,E17415,Asthma,chronic,2017-04-18
440,WCBRB1404N,E17415,Urinary Tract Infection,acute,2024-07-08
441,VLVQC5499T,B71720,Multiple Sclerosis,rare,2023-02-08
442,UMYAB1219P,L53652,Multiple Sclerosis,rare,2022-11-03
443,UMYAB1219P,L53652,Hernia,surgical,2019-04-19
444,UMYAB1219P,L53652,Myocardial Infarction,cardiac,2021-03-18
445,UKEZG3708A,N34984,ACL Tear,surgical,2017-04-17
446,VLXMQ9004Q,I32224,ACL Tear,surgical,2020-09-20
447,VLXMQ9004Q,I32224,Autoimmune Disorder,rare,2022-04-04
448,VLXMQ9004Q,I32224,Multiple Sclerosis,rare,2019-08-12
449,HCQKQ3693V,O23774,Lupus,rare,2018-07-19
450,HCQKQ3693V,O23774,Multiple Sclerosis,rare,2016-03-15
451,HCQKQ3693V,O23774,Gallstones,surgical,2018-09-18
452,HCQKQ3693V,O23774,ACL Tear,surgical,2018-02-06
453,HCQKQ3693V,O23774,Asthma,chronic,2016-08-06
454,NWOJA3357C,C24299,Dengue,acute,2023-08-14
455,NWOJA3357C,C24299,Chronic Kidney Disease,chronic,2022-04-16
456,NWOJA3357C,C24299,Angina,cardiac,2019-09-05
457,NWOJA3357C,C24299,Autoimmune Disorder,rare,2018-12-23
458,NWOJA3357C,C24299,ACL Tear,surgical,2017-11-29
459,KPWXA6690I,Z38190,Hypertension,chronic,2023-08-08
460,KPWXA6690I,Z38190,ACL Tear,surgical,2017-05-01
461,KPWXA6690I,Z38190,Asthma,chronic,2016-09-03
462,KPWXA6690I,Z38190,Pneumonia,acute,2022-05-26
463,ZLNHW9523U,C92162,Myocardial Infarction,cardiac,2020-04-07
464,ZLNHW9523U,C92162,Urinary Tract Infection,acute,2023-06-06
465,ZLNHW9523U,C92162,Gallstones,surgical,2021-04-06
466,ZLNHW9523U,C92162,Angina,cardiac,2016-08-28
467,CELAL1067D,A97634,Lupus,rare,2021-04-18
468,CELAL1067D,A97634,Urinary Tract Infection,acute,2017-09-04
469,DMZSU7258M,D23226,Myocardial Infarction,cardiac,2024-04-15
470,DMZSU7258M,D23226,Multiple Sclerosis,rare,2020-08-22
471,HWVTG0193P,W71676,Diabetes Mellitus,chronic,2023-02-28
472,HWVTG0193P,W71676,Appendicitis,surgical,2017-12-22
473,WMKLI8951F,K58087,Autoimmune Disorder,rare,2018-09-09
474,CQTII5835I,I61858,Viral Fever,acute,2023-07-31
475,CQTII5835I,I61858,Fracture Femur,surgical,2024-04-22
476,CQTII5835I,I61858,Lupus,rare,2022-11-23
477,HORHK2369G,K81551,Chronic Kidney Disease,chronic,2024-05-18
478,HORHK2369G,K81551,Urinary Tract Infection,acute,2018-12-29
479,ZYFGO6801S,B77604,Angina,cardiac,2020-07-03
480,ZYFGO6801S,B77604,Fracture Femur,surgical,2020-09-28
481,ZYFGO6801S,B77604,Chronic Kidney Disease,chronic,2023-05-12
482,ZYFGO6801S,B77604,Coronary Artery Disease,cardiac,2024-05-19
483,ZYFGO6801S,B77604,Dengue,acute,2021-11-23
484,ZDNNO8361X,A80506,Autoimmune Disorder,rare,2021-04-12
485,ZDNNO8361X,A80506,Coronary Artery Disease,cardiac,2022-05-22
486,ZDNNO8361X,A80506,Multiple Sclerosis,rare,2018-09-06
487,ZDNNO8361X,A80506,Autoimmune Disorder,rare,2020-04-05
488,PZGJE0480H,A40261,Diabetes Mellitus,chronic,2019-04-03
489,PZGJE0480H,A40261,Lupus,rare,2020-05-20
490,PZGJE0480H,A40261,Gastroenteritis,acute,2021-09-02
491,VMOVQ8374K,M99206,Gastroenteritis,acute,2022-02-16
492,VMOVQ8374K,M99206,Gastroenteritis,acute,2022-07-17
493,VMOVQ8374K,M99206,Myocardial Infarction,cardiac,2016-04-05
494,AFFFX6652B,U33661,Hernia,surgical,2019-04-28
495,AFFFX6652B,U33661,Dengue,acute,2017-02-14
496,VOAKZ9213V,R02035,Gastroenteritis,acute,2020-11-11
497,BFGMD3317N,C11261,Myocardial Infarction,cardiac,2017-05-04
498,BFGMD3317N,C11261,Gastroenteritis,acute,2023-06-07
499,TPNVX3500C,E27762,Viral Fever,acute,2024-08-12
500,TPNVX3500C,E27762,Coronary Artery Disease,cardiac,2023-04-12
501,VPWVZ2700L,T02550,Viral Fever,acute,2023-01-27
502,VWUHV7354Z,B94189,Coronary Artery Disease,cardiac,2016-03-09
503,VWUHV7354Z,B94189,Coronary Artery Disease,cardiac,2018-04-18
504,VWUHV7354Z,B94189,Multiple Sclerosis,rare,2022-12-01
505,VWUHV7354Z,B94189,Coronary Artery Disease,cardiac,2020-10-20
506,LFTLH5773F,Y96725,Diabetes Mellitus,chronic,2018-10-17
507,NNBND2017J,M78177,Autoimmune Disorder,rare,2019-07-22
508,TCIVA6019X,I55757,Chronic Kidney Disease,chronic,2024-10-10
509,TCIVA6019X,I55757,Angina,cardiac,2021-06-15
510,TCIVA6019X,I55757,Urinary Tract Infection,acute,2023-06-26
511,CYSSJ0906L,Y62503,Gallstones,surgical,2024-06-13
512,CYSSJ0906L,Y62503,Gastroenteritis,acute,2021-06-04
513,WWIEK3077D,F07529,Hernia,surgical,2023-03-23
514,WWIEK3077D,F07529,Hypertension,chronic,2019-02-03
515,VCAML3647I,S42806,Hypertension,chronic,2019-05-16
516,VCAML3647I,S42806,Hypothyroidism,chronic,2023-01-04
517,MMYZT3166U,U29943,ACL Tear,surgical,2023-05-23
518,MMYZT3166U,U29943,Hypertension,chronic,2021-04-12
519,MWNHG8984O,Q23165,Myocardial Infarction,cardiac,2022-04-22
520,EDTJJ1870J,L64422,Myocardial Infarction,cardiac,2023-10-04
521,EDTJJ1870J,L64422,Coronary Artery Disease,cardiac,2017-05-05
522,EDTJJ1870J,L64422,Multiple Sclerosis,rare,2022-12-26
523,EDTJJ1870J,L64422,Gastroenteritis,acute,2022-07-11
524,EDTJJ1870J,L64422,Pneumonia,acute,2018-07-30
525,DDXWT9971U,Z40630,Gallstones,surgical,2024-10-16
526,AJCSD0954E,X83755,Angina,cardiac,2018-02-28
527,AJCSD0954E,X83755,Gastroenteritis,acute,2018-12-01
528,AJCSD0954E,X83755,Angina,cardiac,2018-09-18
529,AJCSD0954E,X83755,Fracture Femur,surgical,2017-01-24
530,VGYAY1608P,L90604,Angina,cardiac,2016-02-23
531,VGYAY1608P,L90604,Multiple Sclerosis,rare,2020-02-18
532,FMXLA9547L,M64168,Viral Fever,acute,2016-10-12
533,FMXLA9547L,M64168,Myocardial Infarction,cardiac,2023-03-23
534,FMXLA9547L,M64168,Hernia,surgical,2024-06-20
535,FMXLA9547L,M64168,Asthma,chronic,2017-11-06
536,FMXLA9547L,M64168,Angina,cardiac,2023-03-26
537,KDCCA3219B,B01013,Autoimmune Disorder,rare,2018-01-31
538,KDCCA3219B,B01013,Viral Fever,acute,2018-10-29
539,KDCCA3219B,B01013,Coronary Artery Disease,cardiac,2018-08-20
540,KDCCA3219B,B01013,Viral Fever,acute,2020-04-24
541,UAEMB4430C,M55460,Multiple Sclerosis,rare,2016-05-23
542,UAEMB4430C,M55460,Fracture Femur,surgical,2017-11-26
543,OQKVJ9839S,Y31266,Gastroenteritis,acute,2022-10-01
544,QFNCD5606H,X40397,Coronary Artery Disease,cardiac,2018-01-30
545,QFNCD5606H,X40397,Autoimmune Disorder,rare,2021-01-21
546,UBZTL8836X,M79580,Gastroenteritis,acute,2022-04-18
547,UBZTL8836X,M79580,Appendicitis,surgical,2020-11-14
548,UBZTL8836X,M79580,Multiple Sclerosis,rare,2022-07-10
549,UBZTL8836X,M79580,Multiple Sclerosis,rare,2018-08-30
550,UBZTL8836X,M79580,ACL Tear,surgical,2023-07-31
551,TLKWY2401X,W98906,ACL Tear,surgical,2023-10-14
552,TLKWY2401X,W98906,Diabetes Mellitus,chronic,2022-10-14
553,VSHUL1673L,R39822,Lupus,rare,2021-03-19
554,VSHUL1673L,R39822,Chronic Kidney Disease,chronic,2016-11-02
555,OAHJH8647B,U13854,Multiple Sclerosis,rare,2023-07-26
556,OAHJH8647B,U13854,ACL Tear,surgical,2021-01-07
557,OAHJH8647B,U13854,Myocardial Infarction,cardiac,2020-05-16
558,MXABF7239H,E07303,Viral Fever,acute,2021-08-01
559,AKBHY6542T,W52103,Autoimmune Disorder,rare,2016-05-24
560,AKBHY6542T,W52103,Hernia,surgical,2019-01-02
561,YDRIW5246D,F90289,Dengue,acute,2023-08-05
562,YDRIW5246D,F90289,Coronary Artery Disease,cardiac,2017-07-03
563,YDRIW5246D,F90289,Chronic Kidney Disease,chronic,2021-08-19
564,YDRIW5246D,F90289,Hypertension,chronic,2023-01-17
565,YDRIW5246D,F90289,Coronary Artery Disease,cardiac,2018-07-14
566,NOLOL8834G,L97817,Fracture Femur,surgical,2022-12-07
567,NOLOL8834G,L97817,Hypothyroidism,chronic,2021-01-09
568,NOLOL8834G,L97817,Autoimmune Disorder,rare,2016-11-02
569,JOXOE2105I,F40568,Urinary Tract Infection,acute,2016-12-10
570,JOXOE2105I,F40568,Appendicitis,surgical,2018-11-19
571,JOXOE2105I,F40568,Chronic Kidney Disease,chronic,2018-09-26
572,JOXOE2105I,F40568,Hypertension,chronic,2017-07-29
573,LRMOU0721H,W76366,Myocardial Infarction,cardiac,2016-01-13
574,LRMOU0721H,W76366,Coronary Artery Disease,cardiac,2022-08-29
